epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.8531158498030598,0.7312542,0.5931017868220806,0.802
1,0.5424825461739201,0.8201356,0.5011056587100029,0.839
2,0.4872739244189303,0.8349661,0.4643200449645519,0.838
3,0.4574602353497077,0.84423727,0.4462286502122879,0.842
4,0.43674249882667754,0.85232204,0.4375868823379278,0.846
5,0.4213172211611675,0.856,0.41924726255238054,0.855
6,0.40855653239256245,0.85950845,0.4116996392607689,0.853
7,0.39764934779476313,0.8634407,0.40506519824266435,0.858
8,0.38796026721217874,0.8662712,0.3974346436560154,0.859
9,0.3801628749249345,0.869,0.39725251104682685,0.857
10,0.37285816709242636,0.870339,0.38892069067806007,0.863
11,0.36548283521906805,0.8736949,0.38376786522567274,0.863
12,0.3593550262941142,0.87388134,0.38013289403170347,0.87
13,0.353799603052311,0.87684745,0.3830487055703998,0.861
14,0.34910011756218084,0.87827116,0.3750222219154239,0.869
15,0.34449035520902127,0.8795254,0.3710481014102697,0.871
16,0.33962292952178896,0.8807797,0.36709014326334,0.87
17,0.33481881434129457,0.8832373,0.36324071530252694,0.872
18,0.3314589390752174,0.8829322,0.36100502740591767,0.876
19,0.3273407367263305,0.8846271,0.35946719981729985,0.876
20,0.32448106168816654,0.8847458,0.35623698178678753,0.876
21,0.32026693376444154,0.88727117,0.3562730525620282,0.871
22,0.3171595704378718,0.88662714,0.35748274344950914,0.874
23,0.3144195692013886,0.88864404,0.3541579466313124,0.87
24,0.31105193733790165,0.8897797,0.35339750107377765,0.865
25,0.30836846202738205,0.891678,0.35152145558968184,0.874
26,0.3052836224815603,0.8915593,0.3521936692297459,0.867
27,0.3031501941509166,0.8923051,0.3476618711836636,0.88
28,0.30092264925903184,0.8927119,0.34771777139976623,0.872
29,0.2976479538479599,0.89355934,0.3498119156807661,0.867
30,0.2954024674655017,0.89494914,0.34715326195582746,0.872
31,0.2931902467573093,0.8956949,0.3459058448672295,0.879
32,0.2909918272141683,0.89652544,0.34387119188904763,0.883
33,0.28849510094624453,0.8967966,0.3418099201284349,0.871
34,0.28698976541222154,0.89767796,0.3411074922420084,0.876
35,0.28493744151950895,0.89855933,0.3427402336150408,0.881
36,0.2820586766447809,0.8990678,0.34122690809890627,0.88
37,0.28029288646401995,0.9000678,0.34348060972988603,0.874
38,0.27806896227017297,0.9007966,0.3408653569873422,0.88
39,0.27609504480230607,0.9010847,0.33740973509848116,0.881
40,0.274352924917209,0.90208477,0.3429545624181628,0.875
41,0.272730144454261,0.90269494,0.34017366520129144,0.875
42,0.2708189138353376,0.9037966,0.3398653632029891,0.883
43,0.2691141455481618,0.9042373,0.3396600293461233,0.878
44,0.26691090164043135,0.9051864,0.3374317601323128,0.875
45,0.26538086805050654,0.90550846,0.33797982493415474,0.884
46,0.26386861741795375,0.906,0.3402286216150969,0.877
47,0.2618108978400291,0.90667796,0.33730094148777423,0.884
48,0.2611126222284669,0.9063559,0.34105970892123877,0.872
49,0.25896564294599883,0.90708476,0.33746969755738976,0.872
50,0.25717734806239606,0.90794915,0.34359116600826384,0.871
51,0.25601463365857885,0.9086441,0.3409634249750525,0.874
52,0.25457911956739626,0.9094237,0.3377431486733258,0.875
53,0.2525706410187028,0.9095763,0.33697854476049544,0.883
54,0.25168020195501334,0.91,0.33550780145451425,0.879
55,0.2500247814645202,0.91005087,0.34379330384545026,0.879
56,0.24857789453561024,0.91205084,0.3402183309197426,0.88
57,0.24734328057364388,0.9126271,0.3373601962812245,0.884
58,0.2457010342439605,0.9123898,0.3345046965405345,0.883
59,0.2446156429663553,0.9121525,0.3402649219147861,0.88
60,0.24329915752602835,0.9136441,0.33599785724654796,0.887
61,0.24170518216313952,0.9135424,0.34555363226681945,0.876
62,0.24022294718740603,0.91452545,0.3399104157462716,0.88
63,0.2390865856055486,0.91464406,0.3377703358884901,0.882
64,0.23791034426224433,0.9151695,0.33754224311560393,0.882
65,0.23706091913252564,0.9158305,0.3395046152174473,0.882
66,0.23532440794032003,0.91605085,0.3388279616367072,0.885
67,0.23452043792201302,0.9159661,0.3431254901923239,0.884
68,0.2329102102635523,0.9165085,0.34526419909670947,0.885
69,0.23150075367509815,0.9176441,0.3444073879625648,0.883
70,0.23037019055652416,0.91767794,0.33857478662393986,0.887
71,0.22991164757917493,0.91810167,0.33904518010094764,0.883
72,0.22855407636675795,0.9191356,0.3449395191390067,0.885
73,0.22692681986175603,0.91937286,0.34102045982144774,0.885
74,0.2262002117837132,0.9198136,0.34496359415352346,0.882
75,0.2246408912747846,0.92055935,0.3368460959289223,0.882
76,0.22353872084769152,0.9208305,0.34679945204406976,0.877
77,0.22320622535643436,0.9205763,0.33804886643774806,0.887
78,0.22174086695757964,0.9212373,0.34021521965041757,0.884
79,0.2206428674728436,0.92222035,0.3434582383837551,0.88
80,0.21946883732295136,0.9225593,0.3404621206689626,0.882
81,0.21918103939900965,0.92157626,0.33649539966136216,0.887
82,0.21704421320898554,0.9225085,0.34274555831216275,0.878
83,0.21675167335986587,0.9233051,0.35060060964897277,0.881
84,0.2152523420024979,0.92391527,0.3453801112249494,0.879
85,0.21419597800694784,0.9239661,0.34967646319419143,0.879
86,0.21357782131408232,0.92415255,0.34333258792757987,0.886
87,0.21238114875504527,0.92508477,0.3450451261363924,0.877
88,0.21203331395794275,0.9245593,0.3464859452098608,0.885
89,0.21037219966745982,0.92555934,0.345226618507877,0.887
90,0.20955807873821358,0.9258475,0.34247686485759915,0.883
91,0.20858946532579298,0.92632204,0.343857611855492,0.885
92,0.2082167648883947,0.92540675,0.34409180991351607,0.883
93,0.20726589314260727,0.9264746,0.33983467137441037,0.889
94,0.2061006874351178,0.927661,0.34793186620809136,0.885
95,0.20534944258693416,0.9270508,0.34289293345063926,0.884
96,0.20417934011794248,0.92774576,0.34929988579824567,0.886
97,0.20282830780340452,0.9284068,0.34584080753847957,0.885
98,0.202187498352664,0.9287288,0.3466542397160083,0.886
99,0.2018117001690602,0.92911863,0.34733072044327856,0.883
