epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.8053368847248918,0.30918643,1.7349114894866944,0.343
1,1.684888932462466,0.35769492,1.666693091392517,0.369
2,1.6406074058201354,0.371,1.6475459843873979,0.373
3,1.6298284447799294,0.37481356,1.6402336925268173,0.376
4,1.6265535066693515,0.37555933,1.6398119777441025,0.385
5,1.6247041800264586,0.37501696,1.637038880586624,0.384
6,1.622788237717192,0.37832204,1.6391504496335982,0.369
7,1.621552097191245,0.37767798,1.6335868179798125,0.378
8,1.6202486596875272,0.3795593,1.637400895357132,0.366
9,1.619098423901251,0.37974575,1.6353694647550583,0.387
10,1.617335966380976,0.38166103,1.6338195353746414,0.377
11,1.6167783923068288,0.38150847,1.6313637346029282,0.382
12,1.6155907677391828,0.38137287,1.6357561498880386,0.38
13,1.6148415349297605,0.3830339,1.6278346061706543,0.396
14,1.6131782989380723,0.38389832,1.626838967204094,0.375
15,1.6126489938315698,0.38466102,1.6240263432264328,0.387
16,1.6120084331197253,0.38394916,1.6256806641817092,0.392
17,1.611514806444362,0.38472882,1.6266843378543854,0.394
18,1.6112754253007597,0.38466102,1.618888294696808,0.388
19,1.610314688137022,0.38601694,1.6223839789628982,0.382
20,1.608884295467603,0.38732204,1.6211200088262558,0.387
21,1.6087076323517298,0.38622034,1.6229302316904068,0.396
22,1.6083458592325954,0.3860678,1.626135414838791,0.383
23,1.6074625229431412,0.38801694,1.6208165854215622,0.38
24,1.6074709679110575,0.38711864,1.6218793869018555,0.38
25,1.6069086386995801,0.38677967,1.6193316012620926,0.394
26,1.606773727627124,0.38845763,1.6246196746826171,0.384
27,1.6066095282465724,0.3866271,1.6147437691688538,0.393
28,1.6058435873459962,0.38877967,1.6195093899965287,0.383
29,1.6048778082354593,0.38854238,1.6183207303285598,0.389
30,1.6055477655540078,0.3885593,1.62120563685894,0.383
31,1.604957690683462,0.38844067,1.620891496539116,0.384
32,1.6048415649745424,0.38881356,1.615657976269722,0.393
33,1.6049376045243215,0.38710168,1.6171879202127457,0.389
34,1.6041746832556645,0.38867795,1.6205927759408951,0.392
35,1.6040324938499322,0.38742372,1.6183687061071397,0.389
36,1.6036832932698524,0.38923728,1.615965050458908,0.388
37,1.6038843654980093,0.38801694,1.615852677822113,0.404
38,1.6031932689375796,0.3887966,1.6205927819013595,0.394
39,1.6035492180767705,0.3888305,1.6125377506017684,0.398
40,1.6035759474261333,0.389,1.6144832164049148,0.388
41,1.6025074542579005,0.38881356,1.6166954785585403,0.384
42,1.602979970281407,0.38947457,1.6143168389797211,0.384
43,1.6029783629764944,0.3886271,1.6179174602031707,0.387
44,1.6025673131821518,0.38915256,1.6120559632778169,0.396
45,1.602733562760434,0.39025423,1.6105272799730301,0.399
46,1.602399776547642,0.38764408,1.6161156564950943,0.382
47,1.6023701452602774,0.38915256,1.61578771173954,0.4
48,1.6017752443329762,0.3901695,1.6133339613676072,0.4
49,1.6015236171625429,0.38947457,1.6130379647016526,0.384
50,1.6016435069552923,0.3904746,1.6160312235355376,0.379
51,1.6015838461407161,0.38891524,1.612044531106949,0.396
52,1.601560754190057,0.38947457,1.6175528794527054,0.379
53,1.601184166993125,0.38974577,1.6181684404611587,0.383
54,1.601523768295676,0.3887627,1.6161900073289872,0.392
55,1.6009960986800114,0.38994914,1.615683802962303,0.399
56,1.6013833255080854,0.38932204,1.6165855318307876,0.378
57,1.6005792614767107,0.3901356,1.6186969995498657,0.383
58,1.600942443386983,0.3894576,1.613197723031044,0.379
59,1.6005593705985506,0.38861018,1.6146227777004243,0.398
60,1.6007396897016946,0.38842374,1.611035516858101,0.397
61,1.6002699869163965,0.38988134,1.6117949724197387,0.393
62,1.600506225278822,0.38911864,1.6158496558666229,0.383
63,1.6001105179220942,0.3891356,1.6148321688175202,0.397
64,1.5997988033092627,0.39055932,1.61132473051548,0.389
65,1.6003650215722747,0.3891356,1.6170725375413895,0.38
66,1.6004560633231018,0.3902034,1.6113783985376358,0.397
67,1.5995379022622513,0.39005086,1.6118599981069566,0.384
68,1.5999806535446037,0.39035594,1.609250295162201,0.388
69,1.5998490628549609,0.38986441,1.6152895629405974,0.397
70,1.5996134538771742,0.3895763,1.6137688428163528,0.386
71,1.599709591016931,0.39076272,1.6121533900499343,0.397
72,1.5995264557458586,0.39035594,1.6117787688970566,0.392
73,1.599193510564707,0.39054236,1.610328233242035,0.386
74,1.5994403377427893,0.39001694,1.61309215426445,0.389
75,1.5993778279272177,0.3899661,1.6126590102910996,0.387
76,1.59917388982692,0.39030507,1.6127448856830597,0.392
77,1.5992810566546554,0.38947457,1.6138000667095185,0.378
78,1.5991820845563534,0.3901695,1.6132381826639175,0.391
79,1.5992181890091655,0.38962713,1.6099681675434112,0.389
80,1.5991794740749619,0.39066103,1.615326738357544,0.389
81,1.5989793159193912,0.3889322,1.6102088570594788,0.391
82,1.5987679591623403,0.39055932,1.6113621681928634,0.4
83,1.5986429473101083,0.389661,1.6116891235113144,0.396
84,1.5985068889997773,0.3902373,1.6127945482730865,0.396
85,1.598885242514691,0.3910339,1.6115699231624603,0.393
86,1.5990641216100272,0.38993222,1.6106209188699723,0.396
87,1.5988273575144298,0.3898983,1.6099037915468215,0.392
88,1.5985416050684653,0.3898305,1.6101756811141967,0.388
89,1.5986485160003274,0.39001694,1.6112318873405456,0.402
90,1.5983233661974892,0.39062712,1.610265424847603,0.396
91,1.5982737639192808,0.38962713,1.6152344197034836,0.39
92,1.5983560150962766,0.38933897,1.6111210107803344,0.396
93,1.5978813300698491,0.39035594,1.6157656282186508,0.385
94,1.5982375968310794,0.38947457,1.6114942997694015,0.385
95,1.5983658814834336,0.3910339,1.6105852097272872,0.39
96,1.5977701663970947,0.39132205,1.6114605575799943,0.391
97,1.5976636689598278,0.39055932,1.6168713331222535,0.385
98,1.5979811391587986,0.39022034,1.6121710598468781,0.388
99,1.5978029511742673,0.38988134,1.6110526710748672,0.392
