epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.9940319837149927,0.2822373,1.7777406930923463,0.313
1,1.7428286646382283,0.32754236,1.7427629053592681,0.308
2,1.7053878635673199,0.3449322,1.7061447083950043,0.354
3,1.6731450799158063,0.35857627,1.67921239733696,0.383
4,1.6513779436127614,0.36625424,1.6614309936761855,0.374
5,1.639638100842298,0.36967796,1.6498278111219407,0.373
6,1.6334237985691782,0.3730678,1.6441664785146712,0.386
7,1.6294829733290914,0.3745424,1.6432225584983826,0.367
8,1.6272892712536504,0.37525424,1.6400454670190812,0.387
9,1.6255865531452631,0.3758305,1.637703973054886,0.373
10,1.6242379171363377,0.3773051,1.6363262414932251,0.377
11,1.623470110711405,0.3771017,1.6373049378395081,0.378
12,1.6225944139189639,0.37822035,1.63471617102623,0.382
13,1.6216927364721136,0.37908474,1.6328887850046159,0.386
14,1.621286294823986,0.38032204,1.6339646220207213,0.381
15,1.6209276240760997,0.37928814,1.633700081706047,0.389
16,1.619980722463737,0.38074577,1.6312206029891967,0.384
17,1.6195501345699117,0.3796949,1.631414145231247,0.382
18,1.6192035448753228,0.3800678,1.6319943130016328,0.378
19,1.6187827485092616,0.38108474,1.6318428069353104,0.381
20,1.618361468537379,0.3816271,1.6322060406208039,0.38
21,1.618000700110096,0.38174576,1.6310875207185744,0.382
22,1.6178540874335725,0.38111866,1.6292651146650314,0.368
23,1.6172682897519257,0.383,1.6306320190429688,0.384
24,1.6168104226306332,0.38301694,1.6314008831977844,0.376
25,1.6164876177149303,0.38205084,1.6282672464847565,0.375
26,1.6164554231247659,0.3818983,1.6291274726390839,0.377
27,1.6160826592122095,0.38279662,1.6285131067037582,0.382
28,1.6157637243553744,0.38284746,1.6296944588422775,0.386
29,1.6157261966648748,0.3824407,1.627243047952652,0.375
30,1.6153556336790829,0.38335595,1.6259783893823623,0.376
31,1.6149061155521263,0.38318643,1.6263749986886977,0.384
32,1.6148252862994954,0.383339,1.6296346932649612,0.38
33,1.6142272465309855,0.38355932,1.6274415701627731,0.379
34,1.6140906851170427,0.3840678,1.6278887927532195,0.393
35,1.6135075400441379,0.38383052,1.6264578729867936,0.379
36,1.6134622740543494,0.3837966,1.626386931538582,0.382
37,1.6129772493394754,0.38457626,1.6252900630235672,0.389
38,1.6126659168025195,0.38549152,1.6260681092739104,0.379
39,1.6122684994996603,0.3850678,1.6252037227153777,0.379
40,1.6119470839783296,0.3860339,1.6241409212350846,0.39
41,1.611460168280844,0.3849322,1.624980515241623,0.385
42,1.6112755140005532,0.38515255,1.6261727601289748,0.379
43,1.6109246181229413,0.38515255,1.6239059835672378,0.387
44,1.6106535778207294,0.38632202,1.6250671237707137,0.394
45,1.6103164047507916,0.38701695,1.6241341203451156,0.383
46,1.6098710414716753,0.3863729,1.6251130670309066,0.386
47,1.6097830317788204,0.38708475,1.6244125545024872,0.386
48,1.6093551111423363,0.387661,1.6223704427480699,0.392
49,1.6092309464842587,0.38747457,1.6224962025880814,0.39
50,1.6088147711955896,0.3866271,1.6237613558769226,0.381
51,1.608468431739484,0.3863729,1.622071126103401,0.396
52,1.6081514689881924,0.38740677,1.6226404815912248,0.387
53,1.6080936107595087,0.38744068,1.6234592884778976,0.384
54,1.6079032275636318,0.38864407,1.6227246463298797,0.389
55,1.6077089799662767,0.38755932,1.6209920287132262,0.392
56,1.607601392471184,0.38735592,1.6208670675754546,0.387
57,1.6073690593242644,0.38884747,1.6214182436466218,0.377
58,1.6071167267985262,0.38811865,1.6213492095470428,0.399
59,1.6069621245739825,0.38742372,1.6206952452659606,0.397
60,1.6066517968299026,0.387661,1.6213129609823227,0.386
61,1.606721045304153,0.38852543,1.621796303987503,0.388
62,1.606353608531467,0.38857627,1.6218321055173874,0.377
63,1.6063943435580044,0.38771185,1.6195073395967483,0.397
64,1.6058458567675897,0.38891524,1.6202352434396743,0.392
65,1.6059898760359166,0.38894916,1.6201350748538972,0.389
66,1.6059394658622095,0.3885593,1.6199853748083115,0.393
67,1.6056075546701076,0.3881017,1.6201704561710357,0.395
68,1.6054451993966508,0.3881017,1.6197439044713975,0.386
69,1.605410088826034,0.38867795,1.6207994639873504,0.39
70,1.6052515474416442,0.38898304,1.6180762261152268,0.391
71,1.6052524393897944,0.3884915,1.6184518396854402,0.394
72,1.6049588589344994,0.38818645,1.6200278043746947,0.387
73,1.604961270599042,0.38838983,1.6182581335306168,0.39
74,1.604743595042471,0.38871187,1.6175694853067397,0.392
75,1.604654433363575,0.3885593,1.6174031257629395,0.394
76,1.6044510086714212,0.3895763,1.618461611866951,0.388
77,1.604542687181699,0.38874575,1.6173421561717987,0.391
78,1.6044739825240637,0.38942373,1.6174009144306183,0.398
79,1.6044232691748668,0.38835594,1.6170187085866927,0.402
80,1.6044458675182471,0.38837287,1.617715337872505,0.394
81,1.604396302013074,0.3879322,1.6172716796398163,0.399
82,1.6038561571452576,0.38910168,1.618933340907097,0.389
83,1.603988414295649,0.3889322,1.6167660623788833,0.391
84,1.6036537074436576,0.38852543,1.6199595600366592,0.398
85,1.6037008853281958,0.38918644,1.6176567405462265,0.391
86,1.6035685719069788,0.38930508,1.6164360076189042,0.387
87,1.6035393353235923,0.38903388,1.6179975986480712,0.391
88,1.6037237578529422,0.38998306,1.6170247852802277,0.398
89,1.603382801807533,0.38916948,1.616101336479187,0.394
90,1.603311319573451,0.38918644,1.6166658222675323,0.393
91,1.603332163721828,0.38884747,1.6154635727405549,0.397
92,1.6028999041702787,0.38918644,1.6163411259651184,0.392
93,1.603172680584051,0.3895254,1.614941543340683,0.395
94,1.6029108537455736,0.38938984,1.6158233523368835,0.398
95,1.6028314457101338,0.38894916,1.6153402596712112,0.4
96,1.603039233058186,0.3895254,1.6145857363939284,0.397
97,1.6027649720846597,0.38852543,1.6181177020072937,0.386
98,1.6029460769588664,0.38884747,1.6140291541814804,0.395
99,1.602793063955792,0.38908476,1.6160779535770415,0.397
