epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.5559114311584982,0.8120678,0.41415280736982824,0.851
1,0.39622913804852355,0.8590339,0.39959172867238524,0.852
2,0.3515610754931882,0.874,0.3718561134301126,0.866
3,0.3245719650665582,0.8819322,0.34260043278336527,0.875
4,0.30563959644760114,0.8893729,0.3108117916621268,0.889
5,0.28998409319605867,0.8948983,0.31484132567420603,0.881
6,0.2771007977868036,0.89922035,0.29611714631319047,0.9
7,0.2649450906031465,0.9031017,0.3114643418695778,0.889
8,0.2548239080487924,0.90664405,0.31264921175315974,0.893
9,0.2443756010067665,0.9100847,0.2969249937217683,0.9
10,0.23511707226477438,0.91357625,0.2853011430706829,0.894
11,0.22637161265869263,0.91640675,0.3001419295556843,0.898
12,0.21858194141285653,0.92081356,0.27807393865659835,0.903
13,0.20921805001227028,0.9234237,0.2927696296945214,0.893
14,0.20320234109600216,0.9248305,0.281910285144113,0.9
15,0.19553617036475215,0.92786443,0.3147048024809919,0.899
16,0.1897830587322429,0.93067795,0.30787478471174834,0.896
17,0.18101091502644753,0.9335763,0.2836876996560022,0.901
18,0.17537992301760083,0.93598306,0.2982154732279014,0.901
19,0.17045046149168985,0.93711865,0.31866202373057606,0.893
20,0.16377130272656173,0.9401525,0.3262877323315479,0.901
21,0.15836860828291058,0.94298303,0.2974589288234711,0.906
22,0.15385441466597682,0.944,0.3026977498433553,0.906
23,0.1477723726781748,0.94581354,0.3115769080235623,0.901
24,0.14272252770172336,0.9472373,0.35848339220974595,0.884
25,0.13656255857135027,0.95035595,0.33517171576968396,0.902
26,0.1330162195409885,0.95088136,0.3100615882489365,0.905
27,0.12784857620421985,0.9538983,0.34890809677308426,0.889
28,0.12171210678988846,0.9557966,0.336709310131846,0.897
29,0.11989992078930392,0.955678,0.3323552132467739,0.908
30,0.11460274345857108,0.9588644,0.32222721001307947,0.896
31,0.10994978612525609,0.96038985,0.35957898712949826,0.901
32,0.10764610959232737,0.9612034,0.33084982774162197,0.903
33,0.10151159022540107,0.9637966,0.3516913096420467,0.897
34,0.09798151985110747,0.9648305,0.3422677031485364,0.894
35,0.09585186599090821,0.9659492,0.3313117782585323,0.914
36,0.09199739284813405,0.9675254,0.369325040950207,0.899
37,0.08848030272973859,0.96847457,0.363399055863556,0.898
38,0.08552265820306552,0.96998304,0.4023102522420231,0.895
39,0.08305317141052525,0.9705424,0.3709204772603698,0.909
