epoch,accuracy,loss,val_accuracy,val_loss
0,0.02242372841021772,3.373009682913958,0.086,2.6208011322021485
1,0.2529709442313445,2.199664472119283,0.425,1.8766545391082763
2,0.5114624694494878,1.7059403046713038,0.573,1.5755559482574464
3,0.5943155803670317,1.488168184029854,0.609,1.4224172191619873
4,0.6162106578127813,1.3667529500136941,0.619,1.3299606943130493
5,0.6257255890359312,1.289517309352503,0.626,1.269203974723816
6,0.6311412480170444,1.237393238938461,0.637,1.2275662956237794
7,0.6346933050680968,1.2013854497064977,0.645,1.1986550493240355
8,0.6376844280604589,1.1757516852879928,0.644,1.1778104305267334
9,0.639240520990501,1.1571104410846356,0.641,1.162297763824463
10,0.6409693347953134,1.1433722468250889,0.643,1.1509288082122802
11,0.6416069448751919,1.1330277848546788,0.644,1.1426398334503174
12,0.6430532728969041,1.1250161948345476,0.644,1.1358299560546874
13,0.6447263974506976,1.118709712311373,0.651,1.1303166255950927
14,0.6456529511991194,1.1136813037476296,0.654,1.1261137685775757
15,0.6458740970088264,1.1095918795314885,0.653,1.1224432411193848
16,0.6468555328704543,1.106255856509936,0.653,1.1199445600509643
17,0.647437454305463,1.1034606389575086,0.652,1.1173397846221924
18,0.6476868492314372,1.101068561562037,0.649,1.11508163356781
19,0.6488054929395853,1.0990423687938917,0.651,1.1132941036224364
20,0.6486004886738325,1.0972669551433143,0.649,1.111757776260376
21,0.6495835406800448,1.0957453810057398,0.652,1.1103543691635132
22,0.6495351134467933,1.0944100702718154,0.65,1.1090488815307618
23,0.6498910453107397,1.0932269251952738,0.652,1.107992733001709
24,0.65030105414532,1.092130136843455,0.65,1.1071414489746094
25,0.6502502062310607,1.0911766075481804,0.652,1.106164397239685
26,0.6506029106550297,1.0902982458724815,0.649,1.1057945137023926
27,0.6506021034919609,1.089502938975722,0.652,1.1044060382843017
28,0.6514003279350572,1.0887544245538066,0.653,1.1038569536209106
29,0.6513833787229102,1.0881072220660872,0.654,1.1032589235305785
30,0.6512025874802622,1.087485930222576,0.656,1.102347294807434
31,0.6514979865086281,1.0868652852409977,0.655,1.1019781713485717
32,0.6516916915774346,1.0863444806155511,0.654,1.1013404054641724
33,0.6521646541811652,1.0858470928365902,0.654,1.1009593467712402
34,0.6515851534271644,1.0853896430993484,0.655,1.10022088432312
35,0.6524390683335773,1.0849416156441478,0.655,1.1000342903137208
36,0.6517764375876572,1.084499716506166,0.655,1.0993732223510742
37,0.6525052496689862,1.0841070720704935,0.654,1.0993651418685912
38,0.6521630393751597,1.0837467959371663,0.654,1.098896203994751
39,0.6519443144737664,1.0833588803218583,0.654,1.098524585723877
40,0.6527578737523596,1.083005626272347,0.654,1.0979684925079345
41,0.6522623136387034,1.0826533418085615,0.657,1.0974136028289796
42,0.6526263148855355,1.0823772907762204,0.655,1.0970612354278564
43,0.6526924992769452,1.0820805345551443,0.655,1.097031089782715
