batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,40,1,0.9303,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,40,1,0.9303,0.0004
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,100,1,0.9303,0.1994
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,100,1,0.9303,0.0043
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,100,1,0.9303,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,100,1,0.9303,0.0002
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,40,10,0.9303,0.1913
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,40,10,0.9303,0.0033
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,40,10,0.9303,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,40,10,0.9303,0.0001
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,100,10,0.9303,0.1902
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,100,10,0.9303,0.0033
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,100,10,0.9303,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,100,10,0.9303,0.0001
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,40,1,0.9312,0.1806
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,40,1,0.9312,0.0022
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,40,1,0.9312,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,40,1,0.9312,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,100,1,0.9312,0.179
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,100,1,0.9312,0.0023
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,100,1,0.9312,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,100,1,0.9312,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,40,10,0.9312,0.1734
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,40,10,0.9312,0.0017
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,40,10,0.9312,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,40,10,0.9312,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,100,10,0.9312,0.1727
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,100,10,0.9312,0.0015
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,100,10,0.9312,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,100,10,0.9312,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,l2,40,1,0.928,0.2338
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,l2,40,1,0.928,0.0058
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,linf,40,1,0.928,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,linf,40,1,0.928,0.0005
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,l2,100,1,0.928,0.2322
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,l2,100,1,0.928,0.0059
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,linf,100,1,0.928,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,linf,100,1,0.928,0.0004
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,l2,40,10,0.928,0.2253
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,l2,40,10,0.928,0.005
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,linf,40,10,0.928,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,linf,40,10,0.928,0.0003
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,l2,100,10,0.928,0.2234
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,l2,100,10,0.928,0.005
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,linf,100,10,0.928,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_1_007.h5,linf,100,10,0.928,0.0003
1000,1.0,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,l2,40,1,0.9294,0.2086
1000,2.0,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,l2,40,1,0.9294,0.0037
1000,0.3,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,linf,40,1,0.9294,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,linf,40,1,0.9294,0.0001
1000,1.0,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,l2,100,1,0.9294,0.2076
1000,2.0,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,l2,100,1,0.9294,0.0038
1000,0.3,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,linf,100,1,0.9294,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,linf,100,1,0.9294,0.0001
1000,1.0,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,l2,40,10,0.9294,0.2018
1000,2.0,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,l2,40,10,0.9294,0.0031
1000,0.3,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,linf,40,10,0.9294,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,linf,40,10,0.9294,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,l2,100,10,0.9294,0.2002
1000,2.0,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,l2,100,10,0.9294,0.003
1000,0.3,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,linf,100,10,0.9294,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_1_trainable_0_008.h5,linf,100,10,0.9294,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,l2,40,1,0.9268,0.2754
1000,2.0,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,l2,40,1,0.9268,0.0067
1000,0.3,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,linf,40,1,0.9268,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,linf,40,1,0.9268,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,l2,100,1,0.9268,0.2736
1000,2.0,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,l2,100,1,0.9268,0.0067
1000,0.3,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,linf,100,1,0.9268,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,linf,100,1,0.9268,0.0001
1000,1.0,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,l2,40,10,0.9268,0.2648
1000,2.0,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,l2,40,10,0.9268,0.0057
1000,0.3,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,linf,40,10,0.9268,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,linf,40,10,0.9268,0.0
