batch_size,eps,model,norm,steps,trials,acc,robust-acc
1000,0.3,model-type_original_comps_10_dense_128_009.h5,linf,100,10,0.16,0.0
1000,0.15,model-type_original_comps_10_dense_128_009.h5,linf,100,10,0.16,0.0024
1000,1.0,model-type_original_comps_10_dense_256_009.h5,l2,40,1,0.1273,0.0781
1000,2.0,model-type_original_comps_10_dense_256_009.h5,l2,40,1,0.1273,0.0209
1000,0.3,model-type_original_comps_10_dense_256_009.h5,linf,40,1,0.1273,0.0
1000,0.15,model-type_original_comps_10_dense_256_009.h5,linf,40,1,0.1273,0.0043
1000,1.0,model-type_original_comps_10_dense_256_009.h5,l2,100,1,0.1273,0.079
1000,2.0,model-type_original_comps_10_dense_256_009.h5,l2,100,1,0.1273,0.0206
1000,0.3,model-type_original_comps_10_dense_256_009.h5,linf,100,1,0.1273,0.0
1000,0.15,model-type_original_comps_10_dense_256_009.h5,linf,100,1,0.1273,0.0042
1000,1.0,model-type_original_comps_10_dense_256_009.h5,l2,40,10,0.1273,0.0764
1000,2.0,model-type_original_comps_10_dense_256_009.h5,l2,40,10,0.1273,0.0077
1000,0.3,model-type_original_comps_10_dense_256_009.h5,linf,40,10,0.1273,0.0
1000,0.15,model-type_original_comps_10_dense_256_009.h5,linf,40,10,0.1273,0.0007
1000,1.0,model-type_original_comps_10_dense_256_009.h5,l2,100,10,0.1273,0.0763
1000,2.0,model-type_original_comps_10_dense_256_009.h5,l2,100,10,0.1273,0.0074
1000,0.3,model-type_original_comps_10_dense_256_009.h5,linf,100,10,0.1273,0.0
1000,0.15,model-type_original_comps_10_dense_256_009.h5,linf,100,10,0.1273,0.0003
1000,1.0,model-type_original_comps_10_dense_512_009.h5,l2,40,1,0.2883,0.0689
1000,2.0,model-type_original_comps_10_dense_512_009.h5,l2,40,1,0.2883,0.0044
1000,0.3,model-type_original_comps_10_dense_512_009.h5,linf,40,1,0.2883,0.0
1000,0.15,model-type_original_comps_10_dense_512_009.h5,linf,40,1,0.2883,0.0012
1000,1.0,model-type_original_comps_10_dense_512_009.h5,l2,100,1,0.2883,0.0693
1000,2.0,model-type_original_comps_10_dense_512_009.h5,l2,100,1,0.2883,0.0044
1000,0.3,model-type_original_comps_10_dense_512_009.h5,linf,100,1,0.2883,0.0002
1000,0.15,model-type_original_comps_10_dense_512_009.h5,linf,100,1,0.2883,0.0014
1000,1.0,model-type_original_comps_10_dense_512_009.h5,l2,40,10,0.2883,0.0636
1000,2.0,model-type_original_comps_10_dense_512_009.h5,l2,40,10,0.2883,0.0008
1000,0.3,model-type_original_comps_10_dense_512_009.h5,linf,40,10,0.2883,0.0
1000,0.15,model-type_original_comps_10_dense_512_009.h5,linf,40,10,0.2883,0.0
1000,1.0,model-type_original_comps_10_dense_512_009.h5,l2,100,10,0.2883,0.0635
1000,2.0,model-type_original_comps_10_dense_512_009.h5,l2,100,10,0.2883,0.0008
1000,0.3,model-type_original_comps_10_dense_512_009.h5,linf,100,10,0.2883,0.0
1000,0.15,model-type_original_comps_10_dense_512_009.h5,linf,100,10,0.2883,0.0
1000,1.0,model-type_original_comps_20_dense_128_008.h5,l2,40,1,0.3502,0.0467
1000,2.0,model-type_original_comps_20_dense_128_008.h5,l2,40,1,0.3502,0.0001
1000,0.3,model-type_original_comps_20_dense_128_008.h5,linf,40,1,0.3502,0.0
1000,0.15,model-type_original_comps_20_dense_128_008.h5,linf,40,1,0.3502,0.0001
1000,1.0,model-type_original_comps_20_dense_128_008.h5,l2,100,1,0.3502,0.047
1000,2.0,model-type_original_comps_20_dense_128_008.h5,l2,100,1,0.3502,0.0002
1000,0.3,model-type_original_comps_20_dense_128_008.h5,linf,100,1,0.3502,0.0
1000,0.15,model-type_original_comps_20_dense_128_008.h5,linf,100,1,0.3502,0.0
1000,1.0,model-type_original_comps_20_dense_128_008.h5,l2,40,10,0.3502,0.0405
1000,2.0,model-type_original_comps_20_dense_128_008.h5,l2,40,10,0.3502,0.0
1000,0.3,model-type_original_comps_20_dense_128_008.h5,linf,40,10,0.3502,0.0
1000,0.15,model-type_original_comps_20_dense_128_008.h5,linf,40,10,0.3502,0.0
1000,1.0,model-type_original_comps_20_dense_128_008.h5,l2,100,10,0.3502,0.0401
1000,2.0,model-type_original_comps_20_dense_128_008.h5,l2,100,10,0.3502,0.0
1000,0.3,model-type_original_comps_20_dense_128_008.h5,linf,100,10,0.3502,0.0
1000,0.15,model-type_original_comps_20_dense_128_008.h5,linf,100,10,0.3502,0.0
1000,1.0,model-type_original_comps_20_dense_256_009.h5,l2,40,1,0.6338,0.0333
1000,2.0,model-type_original_comps_20_dense_256_009.h5,l2,40,1,0.6338,0.0
1000,0.3,model-type_original_comps_20_dense_256_009.h5,linf,40,1,0.6338,0.0
1000,0.15,model-type_original_comps_20_dense_256_009.h5,linf,40,1,0.6338,0.0
1000,1.0,model-type_original_comps_20_dense_256_009.h5,l2,100,1,0.6338,0.0332
1000,2.0,model-type_original_comps_20_dense_256_009.h5,l2,100,1,0.6338,0.0
1000,0.3,model-type_original_comps_20_dense_256_009.h5,linf,100,1,0.6338,0.0
1000,0.15,model-type_original_comps_20_dense_256_009.h5,linf,100,1,0.6338,0.0
1000,1.0,model-type_original_comps_20_dense_256_009.h5,l2,40,10,0.6338,0.025
1000,2.0,model-type_original_comps_20_dense_256_009.h5,l2,40,10,0.6338,0.0
1000,0.3,model-type_original_comps_20_dense_256_009.h5,linf,40,10,0.6338,0.0
1000,0.15,model-type_original_comps_20_dense_256_009.h5,linf,40,10,0.6338,0.0
1000,1.0,model-type_original_comps_20_dense_256_009.h5,l2,100,10,0.6338,0.0247
1000,2.0,model-type_original_comps_20_dense_256_009.h5,l2,100,10,0.6338,0.0
1000,0.3,model-type_original_comps_20_dense_256_009.h5,linf,100,10,0.6338,0.0
1000,0.15,model-type_original_comps_20_dense_256_009.h5,linf,100,10,0.6338,0.0
1000,1.0,model-type_original_comps_20_dense_512_007.h5,l2,40,1,0.6873,0.0215
1000,2.0,model-type_original_comps_20_dense_512_007.h5,l2,40,1,0.6873,0.0
1000,0.3,model-type_original_comps_20_dense_512_007.h5,linf,40,1,0.6873,0.0
1000,0.15,model-type_original_comps_20_dense_512_007.h5,linf,40,1,0.6873,0.0
1000,1.0,model-type_original_comps_20_dense_512_007.h5,l2,100,1,0.6873,0.022
1000,2.0,model-type_original_comps_20_dense_512_007.h5,l2,100,1,0.6873,0.0
1000,0.3,model-type_original_comps_20_dense_512_007.h5,linf,100,1,0.6873,0.0
1000,0.15,model-type_original_comps_20_dense_512_007.h5,linf,100,1,0.6873,0.0
1000,1.0,model-type_original_comps_20_dense_512_007.h5,l2,40,10,0.6873,0.0142
1000,2.0,model-type_original_comps_20_dense_512_007.h5,l2,40,10,0.6873,0.0
1000,0.3,model-type_original_comps_20_dense_512_007.h5,linf,40,10,0.6873,0.0
1000,0.15,model-type_original_comps_20_dense_512_007.h5,linf,40,10,0.6873,0.0
1000,1.0,model-type_original_comps_20_dense_512_007.h5,l2,100,10,0.6873,0.0138
1000,2.0,model-type_original_comps_20_dense_512_007.h5,l2,100,10,0.6873,0.0
1000,0.3,model-type_original_comps_20_dense_512_007.h5,linf,100,10,0.6873,0.0
1000,0.15,model-type_original_comps_20_dense_512_007.h5,linf,100,10,0.6873,0.0
1000,1.0,model-type_original_comps_30_dense_128_007.h5,l2,40,1,0.6526,0.0227
1000,2.0,model-type_original_comps_30_dense_128_007.h5,l2,40,1,0.6526,0.0
1000,0.3,model-type_original_comps_30_dense_128_007.h5,linf,40,1,0.6526,0.0
1000,0.15,model-type_original_comps_30_dense_128_007.h5,linf,40,1,0.6526,0.0
1000,1.0,model-type_original_comps_30_dense_128_007.h5,l2,100,1,0.6526,0.0232
1000,2.0,model-type_original_comps_30_dense_128_007.h5,l2,100,1,0.6526,0.0
1000,0.3,model-type_original_comps_30_dense_128_007.h5,linf,100,1,0.6526,0.0
1000,0.15,model-type_original_comps_30_dense_128_007.h5,linf,100,1,0.6526,0.0
1000,1.0,model-type_original_comps_30_dense_128_007.h5,l2,40,10,0.6526,0.0185
1000,2.0,model-type_original_comps_30_dense_128_007.h5,l2,40,10,0.6526,0.0
1000,0.3,model-type_original_comps_30_dense_128_007.h5,linf,40,10,0.6526,0.0
1000,0.15,model-type_original_comps_30_dense_128_007.h5,linf,40,10,0.6526,0.0
1000,1.0,model-type_original_comps_30_dense_128_007.h5,l2,100,10,0.6526,0.0184
1000,2.0,model-type_original_comps_30_dense_128_007.h5,l2,100,10,0.6526,0.0
1000,0.3,model-type_original_comps_30_dense_128_007.h5,linf,100,10,0.6526,0.0
1000,0.15,model-type_original_comps_30_dense_128_007.h5,linf,100,10,0.6526,0.0
1000,1.0,model-type_original_comps_30_dense_256_009.h5,l2,40,1,0.8573,0.0132
1000,2.0,model-type_original_comps_30_dense_256_009.h5,l2,40,1,0.8573,0.0
1000,0.3,model-type_original_comps_30_dense_256_009.h5,linf,40,1,0.8573,0.0
1000,0.15,model-type_original_comps_30_dense_256_009.h5,linf,40,1,0.8573,0.0
1000,1.0,model-type_original_comps_30_dense_256_009.h5,l2,100,1,0.8573,0.0118
1000,2.0,model-type_original_comps_30_dense_256_009.h5,l2,100,1,0.8573,0.0
1000,0.3,model-type_original_comps_30_dense_256_009.h5,linf,100,1,0.8573,0.0
1000,0.15,model-type_original_comps_30_dense_256_009.h5,linf,100,1,0.8573,0.0
1000,1.0,model-type_original_comps_30_dense_256_009.h5,l2,40,10,0.8573,0.0095
1000,2.0,model-type_original_comps_30_dense_256_009.h5,l2,40,10,0.8573,0.0
