epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.7987976017139726,0.75601697,0.44074171781539917,0.864
1,0.3933885614119344,0.87801695,0.34811543971300124,0.904
2,0.3252704792482368,0.8990678,0.31569397263228893,0.903
3,0.2849561608443826,0.91140676,0.2820353634655476,0.918
4,0.25624332140689177,0.91991526,0.2653861505910754,0.919
5,0.23449041860146544,0.9271525,0.2524621045216918,0.932
6,0.21654343988935826,0.9325593,0.24441552851349116,0.928
7,0.20166495877744284,0.9371695,0.2311338534578681,0.934
8,0.18850283807111998,0.940661,0.22042973786592485,0.937
9,0.17820652997184355,0.94415253,0.2132051640190184,0.939
10,0.16839170737065753,0.94647455,0.21439307825639844,0.94
11,0.1593736829757059,0.949339,0.20802911010105163,0.939
12,0.15138727060945356,0.95218647,0.1981271336786449,0.946
13,0.14475761196512918,0.9542881,0.20372866448014976,0.94
14,0.138632402314915,0.9564407,0.20041555128991603,0.942
15,0.13196157829251962,0.95755935,0.20230701284017413,0.942
16,0.12627757182108018,0.9598983,0.18581723095849156,0.95
17,0.12127466466262053,0.9611017,0.19260510604362935,0.944
18,0.11643030356647352,0.96306777,0.2058065809775144,0.937
19,0.11191299481996161,0.964,0.19933870397508144,0.947
20,0.10768509907963669,0.96611863,0.19097954507451503,0.945
21,0.103694833392451,0.9678814,0.19074292052537203,0.947
22,0.09900086892816096,0.96847457,0.19667225535959004,0.948
23,0.0963887269462664,0.9692881,0.18497913929168136,0.954
24,0.09181522961106088,0.97142375,0.18997407210990785,0.946
25,0.08840199620107789,0.9722034,0.19508919662330299,0.946
26,0.08444872121010923,0.9737966,0.20190795613452792,0.944
27,0.08207972976379097,0.97386444,0.1945932564791292,0.948
28,0.07834595800061726,0.9756271,0.1936743722297251,0.953
29,0.07567623650607795,0.9761017,0.19950591246597468,0.952
30,0.0727144830964774,0.9773051,0.2058715764898807,0.943
31,0.06941082571116197,0.9784407,0.19365237581077963,0.947
32,0.06714624952173681,0.97922033,0.19570540310814977,0.952
33,0.06491076056431126,0.97964406,0.19890738027170302,0.95
34,0.06177738840855516,0.98091525,0.20112856705673038,0.951
35,0.059128136420622465,0.9821356,0.20333942151628434,0.946
36,0.05668161943479899,0.982661,0.2017206439515576,0.954
37,0.05467208787972518,0.9834237,0.20514709081035107,0.949
38,0.05246431916267453,0.98349154,0.21178415084723384,0.952
39,0.051079512792205344,0.98515254,0.20035840175114572,0.952
40,0.04807811511677524,0.9861695,0.21130885889288037,0.952
41,0.04620851275197357,0.9861695,0.21467992775142192,0.959
42,0.044274547364083275,0.98628813,0.20798859703354539,0.954
43,0.04179543395723035,0.9875254,0.21581619344651698,0.952
44,0.04047700258828226,0.98771185,0.22147805026033893,0.953
45,0.03886537630183985,0.98828816,0.23246111816260964,0.946
46,0.03666636794600813,0.9893729,0.2245050146477297,0.954
47,0.03460584937454738,0.989983,0.23394256881438197,0.953
48,0.033764114435411934,0.9900678,0.23123357695003505,0.953
49,0.03242260781708726,0.9906271,0.22877179489150876,0.953
50,0.03008904938030617,0.99167794,0.23849892294965686,0.948
51,0.02782507526714915,0.992661,0.24983629218768327,0.952
52,0.027318811052988414,0.99271184,0.2367271708906628,0.954
53,0.025702819809459654,0.99311864,0.23521909927949308,0.95
54,0.024623674152185155,0.9934576,0.24035376740503125,0.95
55,0.022885046147502627,0.9937966,0.26925831333501266,0.951
56,0.022619972919297435,0.99411863,0.26128339164424685,0.947
57,0.02066118768305356,0.9947288,0.26300465977037674,0.955
58,0.01983920373113814,0.99528813,0.26642513343831525,0.954
59,0.018741959057426694,0.9955254,0.25789304411737246,0.952
60,0.017967707379728505,0.9958644,0.268196262040874,0.953
61,0.016509359306359852,0.9960678,0.2988339175833971,0.951
62,0.01607121074906653,0.99622035,0.26137313884100877,0.956
63,0.015184147942568801,0.9966271,0.2758646382135339,0.948
64,0.01351852818334626,0.99711865,0.29688724816660395,0.95
65,0.014147223127298984,0.9967966,0.3061110774986446,0.949
66,0.01204363108858993,0.9977288,0.29979828050127255,0.95
67,0.013655574244133323,0.9969153,0.297849927918287,0.951
68,0.011403141133571083,0.99761015,0.3061346754897386,0.955
69,0.010938603972015513,0.9975254,0.3007981367176399,0.954
70,0.01072733989498436,0.99771184,0.3197746159741655,0.951
71,0.008938447047746765,0.9984746,0.31574056135141293,0.953
72,0.009457353962144395,0.998,0.3248749061996932,0.951
73,0.008787566822440753,0.99842376,0.33107614930486307,0.946
74,0.009112014853796563,0.99805087,0.3222195589914918,0.953
75,0.007714802754850036,0.99874574,0.3629547405289486,0.943
76,0.007414334859468154,0.9984576,0.31769246939511503,0.955
77,0.008670184404464805,0.9980678,0.3510557223547949,0.944
78,0.007306470081154765,0.998339,0.3408419269566366,0.95
79,0.00807280741833985,0.9980339,0.3744283956650179,0.949
80,0.004926171895284038,0.99940675,0.34608216845663264,0.947
81,0.0071085684310519814,0.9984746,0.35697164888842964,0.951
82,0.007045786158988002,0.99825424,0.3813584584815544,0.947
83,0.0038369370615990933,0.9996271,0.37350625764738654,0.95
84,0.008028285926655956,0.99774575,0.38334130237126374,0.946
85,0.004044765598219952,0.99928814,0.36384088447812246,0.951
86,0.0071009806769094,0.9978983,0.39213212560862304,0.945
87,0.005166397517934641,0.9987966,0.35572678670578173,0.951
88,0.006079750738904372,0.99840677,0.40804608209327853,0.942
89,0.005317401615739419,0.9988305,0.3632658838381758,0.95
90,0.004158461495373974,0.999,0.34499080552177475,0.956
91,0.004016951266900787,0.9992203,0.392845161317382,0.95
92,0.006326922335825133,0.9983051,0.36341447855247677,0.95
93,0.004100029128623407,0.9992373,0.3641014442058804,0.958
94,0.002899997501003011,0.9994746,0.41574167521694105,0.946
