epoch,accuracy,loss,val_accuracy,val_loss
0,0.4482372882823318,1.5827317206536309,0.526,1.2973538975715637
1,0.550052462492959,1.2422588561045922,0.546,1.2500914478302
2,0.5639701392691014,1.2091619828494928,0.569,1.2181423692703246
3,0.5719354336039495,1.190737666871588,0.559,1.2087750992774964
4,0.5757958049996424,1.1794114073454323,0.582,1.199061918258667
5,0.5788983075548026,1.1732355949232134,0.59,1.1921174216270447
6,0.5787231663273553,1.1685329101853452,0.605,1.201125449180603
7,0.5789870903653613,1.1677101137779526,0.563,1.2236108102798462
8,0.5804269589357457,1.1649470766722145,0.587,1.188516674041748
9,0.5824422948441264,1.163635466866574,0.599,1.1926356015205384
10,0.5814907208085061,1.1609828783293903,0.599,1.1961406502723695
11,0.5834568226741532,1.1605730971037331,0.594,1.1948284168243408
12,0.5815633598525646,1.1601432153228985,0.584,1.1848614959716797
13,0.5818498817793394,1.1595366447153739,0.576,1.1913873972892761
14,0.5827263945492648,1.1579648019398674,0.598,1.1884242749214173
15,0.5842679608423831,1.1572101046978418,0.599,1.1988570041656494
16,0.5837586791586068,1.1581757698523796,0.582,1.1892832894325256
17,0.5844947570966462,1.1562598855818733,0.588,1.192383231163025
18,0.5846715128522808,1.1555849835024041,0.58,1.2041116771697997
19,0.5839854747814647,1.1553789078684176,0.596,1.194535786151886
20,0.586082327946768,1.1554078553187646,0.597,1.193846622467041
21,0.5864196954642312,1.155053165150901,0.594,1.1892846097946168
22,0.5858975006109577,1.1546733983492448,0.579,1.1941155490875244
23,0.5856787762904572,1.1542306367623605,0.608,1.1932371025085449
24,0.5867037962806427,1.1531468226747998,0.6,1.1922556879520416
25,0.5857627151628672,1.153342523362677,0.602,1.1857027642726898
26,0.5873212295063471,1.1526183525384484,0.594,1.19649573802948
27,0.5850419713278948,1.1515298308457358,0.594,1.1883103666305541
28,0.5876868467714826,1.1522514471563243,0.584,1.1935041704177856
29,0.5863744983733711,1.1519545654624195,0.588,1.1871873779296875
30,0.5862655400472172,1.1517647242141982,0.577,1.1853962326049805
31,0.5882728027085127,1.1512277255624028,0.588,1.1862378129959106
32,0.5867990341479495,1.1515531465158624,0.603,1.185717088699341
33,0.5875278474415763,1.1506677293171317,0.582,1.1913508138656617
34,0.5885431827377465,1.1509697817139706,0.6,1.1909812104701996
35,0.5882542404582944,1.1503404287968653,0.606,1.1824214909076691
36,0.5891573880688619,1.1504846091492702,0.598,1.1842191631793977
37,0.5888595670714216,1.1497856479074995,0.592,1.186629348754883
38,0.5887046031275038,1.1499361523632277,0.611,1.1834916934967041
39,0.5886004867695146,1.1499054490004557,0.6,1.180359763622284
40,0.5886376135682656,1.1497976739527815,0.598,1.1819276628494262
41,0.5886916897307009,1.1494458961284766,0.598,1.1835691285133363
42,0.5881315616732937,1.1492570908898014,0.586,1.183189950466156
43,0.5893946769126391,1.148875435025005,0.581,1.1836104674339294
44,0.5896626336089635,1.148596759317285,0.591,1.1823487515449524
45,0.5888724814784729,1.1488524452104407,0.593,1.1822905774116517
46,0.5877062174223238,1.1488251625986423,0.599,1.1826481528282164
47,0.588335757942523,1.1491658235000353,0.601,1.1834310836791992
48,0.5893067017197609,1.1486447876792842,0.59,1.1848473453521728
49,0.5899071857838307,1.1483672865871655,0.597,1.1880932455062867
50,0.5911380176321935,1.1482272619918241,0.582,1.1882662830352784
51,0.5877675571936672,1.1487375793315597,0.609,1.178555016040802
52,0.5896319633065644,1.1477000864380498,0.588,1.1819921362400054
53,0.5890113019842212,1.147183880614022,0.591,1.181667965888977
54,0.5891105765003269,1.1481133354922473,0.598,1.1842260475158692
55,0.5904229244438268,1.1467636111429182,0.605,1.1796805636882781
56,0.5897990343429275,1.147819910413128,0.6,1.1845364933013915
57,0.5892881386866003,1.146747249011266,0.613,1.179804063796997
58,0.5909104145937046,1.1469787956294366,0.605,1.1830529670715333
59,0.5902227629544371,1.1472023131988816,0.598,1.1910144529342652
60,0.5906255078770346,1.1470473901195042,0.595,1.1843991403579712
61,0.5886360002018638,1.1471542112402997,0.6,1.180764033317566
62,0.5901816009717472,1.1464822778762398,0.597,1.18565859746933
63,0.590623086362572,1.1464858047537885,0.588,1.1849066562652588
64,0.590562554562496,1.1461107600543459,0.593,1.1864699687957763
65,0.5906908830091104,1.1466646985987485,0.602,1.1880822761058807
66,0.5909644907561399,1.146561220843913,0.582,1.1848043670654298
67,0.5897159031134541,1.1463954919980743,0.592,1.1834276628494262
68,0.590840196356935,1.146013412182614,0.594,1.1932898268699645
69,0.5911105759315571,1.1460688218221826,0.593,1.1881465044021606
70,0.5901646520121623,1.1461499548564522,0.597,1.1763769674301148
71,0.5904213095620527,1.1469274109197876,0.598,1.1829891090393065
72,0.5909806325526561,1.1453501818543774,0.609,1.184525851726532
73,0.590329301079451,1.1457996090084819,0.599,1.1780362324714662
74,0.5899531907449335,1.1459213240671966,0.603,1.1796377420425415
75,0.5897247805181196,1.1454997181387272,0.594,1.179913261413574
76,0.5914995993345471,1.1453882422992738,0.592,1.184550612449646
