epoch,accuracy,loss,val_accuracy,val_loss
35,0.2934221149879997,1.7238657382585234,0.273,1.7452906532287598
36,0.2920637617676945,1.7238622312828646,0.256,1.7474687252044678
37,0.2931969330914445,1.7239938411672238,0.299,1.7493240966796875
38,0.29239144512152265,1.7240793951487137,0.296,1.7477271766662599
39,0.29221953217382146,1.7228360493304367,0.269,1.7442237176895141
40,0.29227764320449307,1.7234057704270895,0.282,1.747449338912964
41,0.29320581137060614,1.7230878664275346,0.249,1.7440389862060548
42,0.2939281684172861,1.7222354300951555,0.259,1.744025089263916
43,0.29316949188330416,1.7228355600672254,0.254,1.7451576223373413
44,0.2917239711446277,1.722817418534877,0.279,1.745887541770935
45,0.29436723219893746,1.7228228101285838,0.264,1.7444238805770873
46,0.29297336641762217,1.722571865683895,0.288,1.7436485319137573
47,0.2930266350002612,1.7222670470253896,0.278,1.7459776401519775
48,0.29420339077458546,1.7217333789599143,0.271,1.7535776376724244
49,0.29092736095190047,1.7219410243680922,0.301,1.741816635131836
50,0.29510250248141207,1.7219448817988574,0.272,1.745762882232666
51,0.29182405203454576,1.7222858882556527,0.266,1.7440705842971802
52,0.29371993638322513,1.7218358012579256,0.296,1.7450887718200683
53,0.29489991954701433,1.7217055485410206,0.288,1.7442869997024537
54,0.29566747418652145,1.7216795660681643,0.268,1.743749319076538
55,0.296669895883839,1.7209770233954413,0.305,1.7456303691864015
56,0.29456416471403535,1.7214869660846257,0.303,1.747096188545227
57,0.29321146141421994,1.72067012362561,0.264,1.7473933877944947
58,0.29395480254444023,1.7212310991044772,0.296,1.7474283180236816
59,0.2946707027695947,1.7212424965228064,0.277,1.7541521320343016
60,0.2940161426630566,1.7205088878082018,0.264,1.7442379493713378
61,0.29383696579074453,1.7211519790908039,0.291,1.7442592782974242
62,0.29480306766927244,1.7207374191890328,0.274,1.7430236082077026
63,0.2953995159243123,1.720275706759954,0.284,1.7469313583374024
64,0.29625827327244364,1.7203994760068797,0.28,1.7443030376434325
65,0.29625504480959,1.720308262412831,0.295,1.7447717266082763
66,0.29550605342423514,1.7208467655262705,0.276,1.7447142143249512
67,0.294811138624357,1.7203607278355098,0.279,1.750929962158203
68,0.29550686093457673,1.7201447395955103,0.285,1.741304853439331
69,0.29639225237197797,1.720096339714729,0.295,1.7413764600753785
70,0.2971291370437307,1.7201007338903718,0.286,1.7449488925933838
71,0.2958313159455182,1.719936815762924,0.288,1.7427292098999023
72,0.2943527041855505,1.7200226810018895,0.288,1.744391900062561
73,0.2948724782883616,1.7196382505408787,0.28,1.7402907123565674
74,0.2960871678540262,1.71994743892702,0.293,1.7541383266448975
75,0.2964503641477076,1.7195024682303606,0.296,1.7429466667175293
76,0.29484584392127344,1.7199433902562675,0.296,1.7457282590866088
77,0.296079904002027,1.7199860883971392,0.29,1.7481900615692139
78,0.2957037941663195,1.7191412745896033,0.289,1.7404642639160157
79,0.2969911221856788,1.719031696299375,0.281,1.7431021003723144
80,0.296473769925661,1.719393626006983,0.27,1.744733871459961
81,0.29577239754341417,1.719260717347517,0.283,1.7404012432098388
82,0.294930589300091,1.7193128366591566,0.297,1.742688102722168
83,0.2946933013023966,1.7188520595178767,0.298,1.74265904712677
84,0.29603470627344763,1.7190788882263637,0.29,1.7471257495880126
85,0.2979774017581495,1.7186390673710128,0.281,1.7402029571533204
86,0.29669814376255216,1.7187556534500446,0.279,1.7460073604583741
87,0.2962671514411094,1.718744147430032,0.301,1.741039421081543
88,0.29624132433811484,1.7189322615073899,0.28,1.7441225233078004
89,0.29822114647950154,1.7189051789752507,0.262,1.742204761505127
90,0.29468119511917484,1.7186502083883448,0.278,1.7421407642364501
91,0.2935948351808524,1.7189351210149668,0.285,1.744093611717224
92,0.297771590720799,1.7183243116079752,0.275,1.7485218753814697
93,0.2961517355010166,1.7187519062373597,0.282,1.7440282926559447
94,0.2949322039450882,1.7186753478090642,0.275,1.7414400386810303
95,0.29838740972139066,1.7181852549819623,0.29,1.7448934631347657
96,0.29729378623730046,1.7183142280174515,0.28,1.7409873514175416
97,0.29669410883748937,1.7187339703915483,0.297,1.7427562274932862
98,0.2972679584523884,1.7182880640029907,0.279,1.7439544544219971
99,0.2982752227303335,1.7176821325795124,0.286,1.7443383026123047
